Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TextBlockCount;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;CodeBlockCount;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;cosineThreeGramNormalizedBool;0.3;22037280;147248795;1.5625E7;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;threeGramJaccard;0.6;22037280;58996741;9375000.0;3;0;0;0;0;0.0;2;0;0;0;0
TestManager;threeGramJaccard;0.6;22037280;58997388;9375000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;threeGramJaccard;0.6;22037280;59004094;9375000.0;3;2;0;6;1;0.0;2;2;0;2;0
TestManager;threeGramJaccard;0.6;22037280;59078493;9375000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;threeGramJaccard;0.6;22037280;60329723;9375000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;threeGramJaccard;0.6;22037280;69262919;9375000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;threeGramJaccard;0.6;22037280;147248795;9375000.0;3;3;0;6;0;0.0;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;7873162;0.0;3;0;0;0;0;8.125E7;3;0;0;0;0
TestManager;optimalAlignment;0.3;3758880;7873319;0.0;2;1;0;5;0;8.125E7;2;2;0;4;0
TestManager;optimalAlignment;0.3;3758880;7873489;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;7873581;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;7874248;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;7874570;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;7874704;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;7875126;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;15577610;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;24534909;0.0;2;2;0;2;0;8.125E7;2;2;0;2;0
TestManager;optimalAlignment;0.3;3758880;130380462;0.0;3;2;0;4;0;8.125E7;2;2;0;2;0
TestManager;fiveGramOverlap;0.9;3758880;7873162;0.0;3;0;0;0;0;3125000.0;3;0;0;0;0
TestManager;fiveGramOverlap;0.9;3758880;7873319;0.0;2;1;0;5;0;3125000.0;2;2;0;4;0
TestManager;fiveGramOverlap;0.9;3758880;7873489;0.0;2;2;0;2;0;3125000.0;2;0;0;2;2
TestManager;fiveGramOverlap;0.9;3758880;7873581;0.0;2;1;0;2;1;3125000.0;2;1;0;2;1
TestManager;fiveGramOverlap;0.9;3758880;7874248;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramOverlap;0.9;3758880;7874570;0.0;2;2;0;2;0;3125000.0;2;1;0;2;1
TestManager;fiveGramOverlap;0.9;3758880;7874704;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramOverlap;0.9;3758880;7875126;0.0;2;2;0;2;0;3125000.0;2;1;0;2;1
TestManager;fiveGramOverlap;0.9;3758880;15577610;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramOverlap;0.9;3758880;24534909;0.0;2;2;0;2;0;3125000.0;2;2;0;2;0
TestManager;fiveGramOverlap;0.9;3758880;130380462;0.0;3;2;0;4;0;3125000.0;2;2;0;2;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7873162;0.0;null;null;null;null;null;9375000.0;3;0;0;0;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7873319;0.0;null;null;null;null;null;9375000.0;2;2;0;4;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7873489;0.0;null;null;null;null;null;9375000.0;2;1;0;2;1
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7873581;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7874248;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7874570;0.0;null;null;null;null;null;9375000.0;2;1;0;2;1
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7874704;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
TestManager;cosineTwoShingleNormalizedBool;0.5;3758880;7875126;0.0;null;null;null;null;null;9375000.0;2;2;0;2;0
